PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1631212,2023-24,00,1610612743,DEN,21.0,52,4,954.0,138,290,0.476,36,109,0.33,49,70,0.7,33,117,150,54,29,47,34,92,361
1630570,2023-24,00,1610612751,BKN,23.0,37,0,434.0,85,159,0.535,11,32,0.344,31,36,0.861,32,68,100,54,15,9,26,57,212
1630322,2023-24,00,1610612760,OKC,26.0,23,0,169.0,23,52,0.442,21,48,0.438,0,0,0.0,1,22,23,12,1,4,4,17,67
1629139,2023-24,00,1610612756,PHX,29.0,29,0,382.0,35,97,0.361,24,75,0.32,10,15,0.667,11,34,45,10,9,7,16,34,104
1629139,2023-24,00,1610612763,MEM,29.0,1,0,25.0,5,12,0.417,1,7,0.143,0,0,0.0,0,2,2,1,2,0,1,1,11
1629139,2023-24,00,0,TOT,29.0,30,0,407.0,40,109,0.367,25,82,0.305,10,15,0.667,11,36,47,11,11,7,17,35,115
1631102,2023-24,00,1610612749,MIL,22.0,5,0,21.0,1,7,0.143,1,3,0.333,0,0,0.0,0,1,1,1,2,0,2,0,3
1629023,2023-24,00,1610612766,CHA,25.0,44,17,1286.0,227,509,0.446,79,244,0.324,67,94,0.713,53,179,232,97,38,32,66,112,600
1629023,2023-24,00,1610612742,DAL,25.0,2,1,60.0,10,21,0.476,1,9,0.111,2,4,0.5,1,9,10,4,1,0,4,5,23
1629023,2023-24,00,0,TOT,25.0,46,18,1346.0,237,530,0.447,80,253,0.316,69,98,0.704,54,188,242,101,39,32,70,117,623
1641775,2023-24,00,1610612738,BOS,19.0,3,0,15.0,1,2,0.5,0,1,0.0,0,0,0.0,1,5,6,2,1,0,0,2,2
1641717,2023-24,00,1610612760,OKC,20.0,54,9,1120.0,141,280,0.504,63,153,0.412,22,26,0.846,31,86,117,72,37,23,25,91,367
1629022,2023-24,00,1610612751,BKN,25.0,33,0,606.0,141,295,0.478,71,162,0.438,35,46,0.761,8,60,68,52,24,10,34,39,388
1641716,2023-24,00,1610612754,IND,20.0,17,0,173.0,28,66,0.424,12,32,0.375,6,7,0.857,8,21,29,20,9,6,10,17,74
1631133,2023-24,00,1610612757,POR,21.0,49,14,1083.0,149,318,0.469,27,97,0.278,84,112,0.75,96,219,315,40,30,20,47,114,409
1630688,2023-24,00,1610612757,POR,29.0,7,0,46.0,6,18,0.333,6,16,0.375,2,2,1.0,0,9,9,0,2,1,1,4,20
1629021,2023-24,00,1610612753,ORL,26.0,52,1,961.0,220,376,0.585,26,80,0.325,114,144,0.792,81,151,232,63,24,16,62,113,580
