TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612737,Atlanta,Hawks,2022-23,82,41,41,0.5,8,2,2,4,15.0,5,N/A,3658,7574,0.483,882,2505,0.352,1513,1850,0.818,920,2719,3639,2049,1541,580,1060,401,9711,3
1610612737,Atlanta,Hawks,2023-24,54,24,30,0.444,10,3,0,0,15.0,5,N/A,2361,5055,0.467,747,2059,0.363,1105,1362,0.811,701,1724,2425,1419,1017,411,722,241,6574,3
1610612738,Boston,Celtics,2022-23,82,57,25,0.695,2,1,11,9,15.0,5,N/A,3460,7278,0.475,1315,3492,0.377,1436,1769,0.812,796,2921,3717,2186,1542,521,1095,430,9671,4
1610612738,Boston,Celtics,2023-24,54,42,12,0.778,1,1,0,0,15.0,5,N/A,2339,4876,0.48,871,2302,0.378,952,1178,0.808,577,1974,2551,1410,925,344,680,352,6501,5
1610612739,Cleveland,Cavaliers,2022-23,82,51,31,0.622,4,2,1,4,15.0,5,N/A,3408,6984,0.488,950,2589,0.367,1439,1844,0.78,795,2574,3369,2045,1560,586,1094,384,9205,25
1610612739,Cleveland,Cavaliers,2023-24,52,35,17,0.673,2,1,0,0,15.0,5,N/A,2227,4615,0.483,697,1927,0.362,830,1075,0.772,562,1785,2347,1414,966,398,704,250,5981,26
1610612740,New Orleans,Pelicans,2022-23,82,42,40,0.512,9,2,0,0,15.0,5,N/A,3447,7180,0.48,899,2468,0.364,1585,2000,0.793,866,2717,3583,2122,1678,681,1196,337,9378,15
1610612740,New Orleans,Pelicans,2023-24,54,32,22,0.593,6,1,0,0,15.0,5,N/A,2310,4740,0.487,655,1731,0.378,997,1303,0.765,592,1801,2393,1453,1033,448,717,258,6272,12
1610612741,Chicago,Bulls,2022-23,82,40,42,0.488,10,3,0,0,15.0,5,N/A,3488,7116,0.49,854,2367,0.361,1446,1788,0.809,694,2779,3473,2006,1551,644,1097,371,9276,22
1610612741,Chicago,Bulls,2023-24,54,26,28,0.481,9,4,0,0,15.0,5,N/A,2254,4821,0.468,634,1763,0.36,902,1143,0.789,597,1749,2346,1321,1040,418,665,285,6044,21
1610612742,Dallas,Mavericks,2022-23,82,38,44,0.463,11,3,0,0,15.0,5,N/A,3283,6909,0.475,1246,3362,0.371,1554,2057,0.755,625,2556,3181,1880,1697,514,1002,304,9366,16
1610612742,Dallas,Mavericks,2023-24,54,31,23,0.574,7,2,0,0,15.0,5,N/A,2313,4845,0.477,815,2187,0.373,969,1282,0.756,536,1732,2268,1379,1027,357,670,237,6410,7
1610612743,Denver,Nuggets,2022-23,82,53,29,0.646,1,1,16,4,15.0,5,LEAGUE CHAMPION,3574,7088,0.504,969,2559,0.379,1378,1834,0.751,828,2699,3527,2368,1525,618,1192,368,9495,12
1610612743,Denver,Nuggets,2023-24,54,36,18,0.667,4,3,0,0,15.0,5,N/A,2353,4794,0.491,622,1687,0.369,841,1115,0.754,598,1783,2381,1548,1000,365,682,288,6169,14
1610612744,Golden State,Warriors,2022-23,82,44,38,0.537,6,4,6,7,15.0,5,N/A,3538,7393,0.479,1363,3540,0.385,1314,1655,0.794,864,2793,3657,2446,1757,588,1336,323,9753,2
1610612744,Golden State,Warriors,2023-24,51,26,25,0.51,10,5,0,0,15.0,5,N/A,2215,4676,0.474,764,2018,0.379,887,1125,0.788,630,1754,2384,1460,1047,338,740,211,6081,18
1610612745,Houston,Rockets,2022-23,82,22,60,0.268,14,4,0,0,15.0,5,N/A,3329,7287,0.457,856,2619,0.327,1567,2078,0.754,1100,2695,3795,1835,1679,600,1332,374,9081,28
1610612745,Houston,Rockets,2023-24,53,24,29,0.453,12,3,0,0,15.0,5,N/A,2202,4759,0.463,637,1809,0.352,966,1247,0.775,574,1838,2412,1320,1132,396,688,233,6007,24
1610612746,LA,Clippers,2022-23,82,44,38,0.537,5,3,1,4,15.0,5,N/A,3370,7059,0.477,1041,2735,0.381,1533,1962,0.781,803,2742,3545,1959,1598,580,1167,364,9314,18
1610612746,LA,Clippers,2023-24,52,35,17,0.673,3,1,0,0,15.0,5,N/A,2237,4534,0.493,684,1728,0.396,980,1200,0.817,526,1703,2229,1351,998,418,674,273,6138,16
1610612747,Los Angeles,Lakers,2022-23,82,43,39,0.524,7,5,8,8,15.0,5,N/A,3516,7298,0.482,885,2558,0.346,1691,2182,0.775,818,2930,3748,2072,1466,526,1154,378,9608,6
1610612747,Los Angeles,Lakers,2023-24,55,29,26,0.527,9,4,0,0,15.0,5,N/A,2369,4809,0.493,622,1689,0.368,1054,1361,0.774,454,1900,2354,1562,898,432,762,312,6414,6
1610612748,Miami,Heat,2022-23,82,44,38,0.537,7,1,13,10,15.0,5,FINALS APPEARANCE,3215,6991,0.46,980,2852,0.344,1567,1885,0.831,796,2533,3329,1955,1516,655,1106,243,8977,30
