Plyr,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,id,Szn,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVP_Rnk,MVP_Shr,Tm_Rcrd,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,MVP_strk
Shareef Abdur-Rahim,24,MEM,81,81,40.0,7.5,15.8,0.472,0.1,0.8,0.188,7.3,15.0,0.487,0.477,5.5,6.6,0.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5,abdursh01,2000_01,19.1,0.549,0.05,0.415,6.2,19.6,13.0,14.3,1.5,1.6,13.2,24.6,5.6,2.9,8.5,0.126,1.7,0.1,1.8,3.1,0.0,0.0,23,False,False,False,True,False,0
Ray Allen,25,MIL,82,82,38.2,7.7,16.0,0.48,2.5,5.7,0.433,5.2,10.3,0.506,0.557,4.2,4.8,0.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0,allenra02,2000_01,22.9,0.61,0.357,0.299,3.7,11.8,7.8,20.4,2.1,0.5,12.1,24.4,11.5,2.2,13.7,0.211,5.7,-0.3,5.5,5.9,,0.006,52,False,False,False,False,True,0
Derek Anderson,26,SAS,82,82,34.9,5.0,12.1,0.416,1.2,3.1,0.399,3.8,9.0,0.422,0.467,4.2,4.9,0.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5,anderde01,2000_01,17.1,0.542,0.255,0.405,3.1,10.9,7.2,18.1,2.2,0.3,12.4,21.9,5.6,4.3,9.9,0.166,1.2,1.2,2.4,3.2,0.0,0.0,58,False,False,False,False,True,0
Shandon Anderson,27,HOU,82,82,29.2,3.2,7.2,0.446,0.6,2.1,0.271,2.6,5.1,0.517,0.485,1.7,2.3,0.734,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7,andersh01,2000_01,11.9,0.528,0.288,0.319,3.6,12.3,8.0,12.5,1.8,1.2,16.3,15.4,1.9,2.0,3.9,0.078,-1.1,0.7,-0.4,0.9,0.0,0.0,45,False,False,False,False,True,0
Darrell Armstrong,32,ORL,75,75,36.9,5.5,13.4,0.412,1.9,5.4,0.355,3.6,8.0,0.451,0.484,2.9,3.3,0.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9,armstda01,2000_01,18.6,0.535,0.402,0.249,3.7,10.2,6.9,31.3,2.5,0.3,15.2,21.0,5.8,2.9,8.7,0.151,3.2,0.1,3.3,3.6,0.0,0.0,43,False,False,True,False,False,0
Chucky Atkins,26,DET,81,75,29.2,4.7,11.8,0.399,1.5,4.2,0.357,3.2,7.6,0.423,0.463,1.1,1.6,0.692,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0,atkinch01,2000_01,12.2,0.481,0.356,0.137,1.2,6.7,3.9,24.3,1.4,0.1,12.9,21.2,1.2,1.6,2.8,0.057,-0.6,-1.0,-1.6,0.3,0.0,0.0,32,False,False,True,False,False,0
Travis Best,28,IND,77,21,31.9,4.5,10.2,0.44,0.5,1.3,0.381,4.0,9.0,0.449,0.464,2.4,2.9,0.827,0.5,2.4,2.9,6.1,1.4,0.1,1.6,3.2,11.9,besttr01,2000_01,16.7,0.517,0.123,0.287,1.8,8.2,5.1,34.0,2.4,0.3,12.5,19.3,4.8,2.3,7.2,0.14,0.8,0.6,1.4,2.1,0.0,0.0,41,False,False,True,False,False,0
Mike Bibby,22,MEM,82,82,38.9,6.4,14.1,0.454,1.3,3.5,0.379,5.1,10.6,0.478,0.5,1.7,2.3,0.761,0.6,3.1,3.7,8.4,1.3,0.1,3.0,1.8,15.9,bibbymi01,2000_01,16.8,0.525,0.246,0.162,1.7,9.2,5.5,38.3,1.8,0.3,16.7,21.3,4.0,1.4,5.3,0.081,2.0,-1.2,0.7,2.2,0.0,0.0,23,False,False,True,False,False,0
Terrell Brandon,30,MIN,78,78,36.2,6.6,14.5,0.451,0.4,1.2,0.363,6.1,13.4,0.458,0.465,2.5,2.9,0.871,0.8,3.1,3.8,7.5,2.1,0.3,2.0,1.8,16.0,brandte01,2000_01,20.0,0.507,0.08,0.198,2.4,9.7,6.0,33.7,3.0,0.5,11.2,22.2,5.8,2.7,8.5,0.145,2.6,0.5,3.1,3.6,0.0,0.0,47,False,False,True,False,False,0
P.J. Brown,31,CHA,80,79,35.1,3.1,7.0,0.444,0.0,0.1,0.0,3.1,7.0,0.447,0.444,2.2,2.6,0.852,3.2,6.1,9.3,1.6,1.0,1.2,1.4,3.3,8.5,brownpj01,2000_01,13.3,0.518,0.007,0.373,10.5,19.6,15.1,7.3,1.5,2.4,14.2,12.5,3.4,4.7,8.0,0.137,-1.3,0.9,-0.4,1.1,0.0,0.0,46,True,False,False,False,False,0
Kobe Bryant,22,LAL,68,68,40.9,10.3,22.2,0.464,0.9,2.9,0.305,9.4,19.3,0.489,0.484,7.0,8.2,0.853,1.5,4.3,5.9,5.0,1.7,0.6,3.2,3.3,28.5,bryanko01,2000_01,24.5,0.552,0.132,0.369,4.3,11.8,8.1,23.0,2.1,1.1,11.1,31.8,9.2,2.2,11.3,0.196,5.1,-0.3,4.8,4.7,9.0,0.009,56,False,False,False,False,True,0
Elden Campbell,32,CHA,78,78,30.0,4.7,10.7,0.44,0.0,0.1,0.0,4.7,10.6,0.443,0.44,3.7,5.2,0.709,2.0,5.8,7.8,1.3,0.8,1.8,1.8,3.6,13.1,campbel01,2000_01,16.4,0.505,0.007,0.487,7.7,21.9,14.8,8.1,1.4,4.4,12.4,22.8,1.9,4.5,6.4,0.131,-1.5,1.1,-0.4,1.0,0.0,0.0,46,False,True,False,False,False,0
Vince Carter,24,TOR,75,75,39.7,10.2,22.1,0.46,2.2,5.3,0.408,8.0,16.8,0.477,0.509,5.1,6.7,0.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,cartevi01,2000_01,25.0,0.551,0.24,0.303,6.5,9.3,7.9,19.2,2.0,1.9,8.2,30.7,10.3,2.6,12.9,0.208,7.6,0.1,7.6,7.2,,0.006,47,False,False,False,True,False,0
Sam Cassell,31,MIL,76,75,35.6,7.1,14.9,0.474,0.4,1.3,0.306,6.7,13.6,0.49,0.488,3.6,4.3,0.858,0.6,3.2,3.8,7.6,1.2,0.1,2.9,2.8,18.2,cassesa01,2000_01,20.1,0.542,0.087,0.285,1.9,10.1,6.1,36.4,1.7,0.2,14.7,24.9,7.0,1.4,8.5,0.15,2.5,-1.5,1.1,2.1,0.0,0.0,52,False,False,True,False,False,0
Doug Christie,30,SAC,81,81,36.3,3.8,9.7,0.395,1.2,3.1,0.376,2.7,6.6,0.403,0.454,3.5,3.9,0.897,1.2,3.2,4.4,3.6,2.3,0.6,1.9,2.8,12.3,chrisdo01,2000_01,14.8,0.538,0.317,0.396,3.6,9.3,6.5,14.6,3.2,1.0,14.3,16.2,4.3,4.4,8.7,0.141,0.0,2.3,2.3,3.2,0.0,0.0,55,False,False,False,False,True,0
Antonio Davis,32,TOR,78,77,35.0,4.8,11.1,0.433,0.0,0.0,0.0,4.8,11.1,0.434,0.433,4.1,5.4,0.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,davisan01,2000_01,16.5,0.508,0.001,0.488,11.0,21.7,16.2,6.2,0.4,3.9,11.4,19.5,4.2,3.1,7.2,0.127,-0.3,-0.8,-1.1,0.6,0.0,0.0,47,True,False,False,False,False,0
Baron Davis,21,CHA,82,82,38.9,5.0,11.7,0.427,1.0,3.3,0.31,4.0,8.3,0.474,0.472,2.8,4.1,0.677,1.6,3.4,5.0,7.3,2.1,0.4,2.8,3.3,13.8,davisba01,2000_01,16.6,0.512,0.286,0.352,4.6,9.9,7.3,32.5,2.9,0.8,17.0,19.2,4.2,4.7,8.9,0.134,1.0,1.4,2.4,3.6,0.0,0.0,46,False,False,True,False,False,0
Michael Dickerson,25,MEM,70,69,37.4,6.1,14.6,0.417,1.2,3.3,0.374,4.8,11.3,0.429,0.459,2.9,3.9,0.763,1.0,2.3,3.3,3.3,0.9,0.4,2.3,3.0,16.3,dickemi01,2000_01,12.4,0.501,0.225,0.265,3.1,6.9,5.0,15.8,1.2,0.7,12.5,22.7,1.2,0.7,1.8,0.034,-0.7,-1.5,-2.2,-0.2,0.0,0.0,23,False,False,False,False,True,0
Vlade Divac,32,SAC,81,81,29.9,4.5,9.3,0.482,0.0,0.2,0.286,4.4,9.1,0.486,0.485,3.0,4.3,0.691,2.6,5.8,8.3,2.9,1.1,1.1,2.4,3.0,12.0,divacvl01,2000_01,17.7,0.536,0.019,0.464,9.5,20.2,15.0,15.2,1.8,2.6,17.4,20.1,3.1,4.3,7.4,0.147,0.3,1.6,1.9,2.4,0.0,0.0,55,True,False,False,False,False,0
Tim Duncan,24,SAS,82,82,38.7,8.6,17.1,0.499,0.1,0.3,0.259,8.5,16.8,0.504,0.502,5.0,8.1,0.618,3.2,9.0,12.2,3.0,0.9,2.3,3.0,3.0,22.2,duncati01,2000_01,23.8,0.536,0.019,0.471,9.7,25.1,17.8,15.3,1.2,4.2,12.5,28.7,6.2,7.1,13.2,0.2,2.9,1.8,4.7,5.4,2.0,0.569,58,False,True,False,False,False,0
Howard Eisley,28,DAL,82,40,29.6,3.2,8.2,0.393,1.3,3.3,0.398,1.9,5.0,0.389,0.472,1.3,1.5,0.825,0.3,2.1,2.4,3.6,1.2,0.1,1.2,2.7,9.0,eisleho01,2000_01,11.7,0.507,0.399,0.187,1.1,7.8,4.5,18.2,2.1,0.4,12.3,15.6,2.4,2.0,4.4,0.087,-0.5,0.6,0.0,1.2,0.0,0.0,53,False,False,False,False,True,0
Michael Finley,27,DAL,82,82,42.0,8.7,18.9,0.458,1.1,3.2,0.346,7.6,15.7,0.481,0.487,3.1,4.0,0.775,1.3,3.9,5.2,4.4,1.4,0.4,2.3,2.1,21.5,finlemi01,2000_01,18.2,0.521,0.169,0.209,3.6,10.0,6.9,18.3,1.8,0.7,10.1,24.9,5.6,2.9,8.5,0.119,2.4,-0.5,1.9,3.4,,0.001,53,False,False,False,True,False,0
Steve Francis,23,HOU,80,79,39.9,6.9,15.2,0.451,1.7,4.2,0.396,5.2,11.0,0.472,0.506,4.5,5.5,0.817,2.4,4.5,6.9,6.5,1.8,0.4,3.3,3.4,19.9,francst01,2000_01,21.6,0.563,0.276,0.359,7.1,12.8,10.0,28.4,2.3,0.7,15.8,24.2,9.2,3.0,12.2,0.184,4.5,0.5,5.0,5.7,0.0,0.0,45,False,False,True,False,False,0
Kevin Garnett,24,MIN,81,81,39.5,8.7,18.2,0.477,0.2,0.8,0.288,8.5,17.4,0.486,0.484,4.4,5.8,0.764,2.7,8.7,11.4,5.0,1.4,1.8,2.8,2.5,22.0,garneke01,2000_01,23.9,0.531,0.045,0.317,7.7,25.3,16.4,21.8,1.8,3.2,12.0,27.0,7.0,4.8,11.8,0.176,4.5,1.4,6.0,6.4,5.0,0.122,47,False,True,False,False,False,0
Brian Grant,28,MIA,82,79,33.8,5.9,12.3,0.479,0.0,0.0,0.0,5.9,12.3,0.48,0.479,3.4,4.3,0.797,2.6,6.1,8.8,1.2,0.7,0.9,2.1,3.6,15.2,grantbr01,2000_01,17.5,0.536,0.001,0.35,9.3,21.5,15.4,7.2,1.2,2.0,12.7,23.4,3.7,5.0,8.7,0.151,-0.3,0.2,-0.1,1.3,0.0,0.0,50,True,False,False,False,False,0
Horace Grant,35,LAL,77,77,31.0,3.4,7.4,0.462,0.0,0.0,0.0,3.4,7.4,0.465,0.462,1.7,2.2,0.775,2.9,4.2,7.1,1.6,0.7,0.8,0.6,2.4,8.5,grantho01,2000_01,14.3,0.511,0.005,0.297,10.5,15.2,12.9,7.5,1.1,1.8,6.9,12.9,4.8,1.7,6.5,0.13,0.6,-0.6,0.0,1.2,0.0,0.0,56,False,True,False,False,False,0
Richard Hamilton,22,WAS,78,42,32.3,7.0,16.0,0.438,0.5,1.9,0.274,6.5,14.1,0.46,0.454,3.6,4.1,0.868,1.0,2.1,3.1,2.9,1.0,0.1,2.6,2.6,18.1,hamilri01,2000_01,15.7,0.508,0.117,0.255,3.4,7.7,5.5,17.7,1.5,0.3,12.6,28.1,2.3,0.1,2.4,0.046,0.4,-2.6,-2.2,-0.1,0.0,0.0,19,False,False,False,True,False,0
Tim Hardaway,34,MIA,77,77,33.9,5.3,13.5,0.392,2.5,6.7,0.366,2.8,6.8,0.417,0.482,1.9,2.4,0.801,0.3,2.3,2.6,6.3,1.2,0.1,2.5,2.0,14.9,hardati01,2000_01,16.7,0.513,0.496,0.174,1.2,8.1,4.6,35.5,1.9,0.2,14.4,24.3,3.1,3.3,6.4,0.118,2.8,-0.4,2.4,2.9,0.0,0.0,50,False,False,True,False,False,0
Matt Harpring,24,CLE,56,55,28.8,4.3,9.4,0.454,0.2,0.9,0.25,4.0,8.4,0.477,0.467,2.4,2.9,0.812,1.6,2.7,4.3,1.8,0.8,0.3,1.6,2.9,11.1,harprma01,2000_01,13.3,0.522,0.099,0.315,6.5,10.9,8.7,10.9,1.4,0.8,13.1,19.2,1.8,0.8,2.6,0.077,-0.4,-1.0,-1.3,0.3,0.0,0.0,30,False,False,False,False,True,0
Lucious Harris,30,BKN,73,50,28.4,3.6,8.5,0.425,0.6,1.8,0.348,3.0,6.7,0.445,0.462,1.5,1.9,0.77,1.0,3.0,3.9,1.8,1.0,0.2,0.9,1.7,9.4,harrilu01,2000_01,12.9,0.498,0.212,0.223,3.8,12.4,8.0,11.3,1.9,0.6,8.5,16.4,2.0,1.2,3.1,0.073,-0.2,-0.4,-0.7,0.7,0.0,0.0,26,False,False,False,False,True,0
Allan Houston,29,NYK,78,78,36.6,6.9,15.5,0.449,1.2,3.2,0.381,5.7,12.3,0.467,0.488,3.6,3.9,0.909,0.3,3.4,3.6,2.2,0.7,0.1,2.1,2.4,18.7,houstal01,2000_01,16.1,0.543,0.209,0.254,0.9,10.8,6.0,12.0,1.0,0.3,10.7,25.7,4.1,3.5,7.5,0.126,1.3,-0.1,1.1,2.2,0.0,0.0,48,False,False,False,False,True,0
Allen Iverson,25,PHI,71,71,42.0,10.7,25.5,0.42,1.4,4.3,0.32,9.4,21.2,0.441,0.447,8.2,10.1,0.814,0.7,3.1,3.8,4.6,2.5,0.3,3.3,2.1,31.1,iversal01,2000_01,24.0,0.518,0.169,0.397,1.9,8.3,5.2,23.0,3.2,0.5,10.0,35.9,7.3,4.5,11.8,0.19,5.0,1.1,6.1,6.1,1.0,0.904,56,False,False,False,False,True,0
Larry Johnson,31,NYK,65,65,32.4,3.8,9.2,0.411,0.8,2.5,0.313,3.0,6.7,0.448,0.454,1.6,2.0,0.797,1.4,4.2,5.6,2.0,0.6,0.4,1.5,3.2,9.9,johnsla02,2000_01,11.2,0.493,0.273,0.214,5.3,15.2,10.4,10.5,1.0,1.1,12.9,17.4,1.0,3.1,4.1,0.093,-1.0,0.9,-0.1,1.0,0.0,0.0,48,False,True,False,False,False,0
Eddie Jones,29,MIA,63,58,36.2,6.2,13.8,0.445,1.4,3.8,0.378,4.7,10.0,0.471,0.497,3.6,4.3,0.844,1.2,3.4,4.6,2.7,1.7,0.9,2.1,2.9,17.4,jonesed02,2000_01,18.8,0.553,0.273,0.31,3.9,11.3,7.6,14.8,2.7,2.0,12.0,23.9,3.9,4.0,7.9,0.166,2.5,2.1,4.6,3.8,0.0,0.0,50,False,False,False,False,True,0
Jason Kidd,27,PHO,77,76,39.8,5.9,14.2,0.411,0.9,3.0,0.297,5.0,11.2,0.442,0.443,4.3,5.2,0.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9,kiddja01,2000_01,19.4,0.51,0.211,0.367,3.3,15.2,9.1,41.2,2.8,0.5,18.3,22.7,4.2,5.4,9.6,0.15,2.4,1.7,4.2,4.8,8.0,0.015,51,False,False,True,False,False,0
Raef LaFrentz,24,DEN,78,74,31.5,5.0,10.4,0.477,0.7,1.8,0.367,4.3,8.6,0.499,0.508,2.3,3.4,0.698,2.2,5.6,7.8,1.4,0.5,2.6,1.2,3.7,12.9,lafrera01,2000_01,17.6,0.544,0.171,0.323,7.6,19.4,13.4,7.3,0.8,5.8,9.5,18.6,4.3,2.5,6.8,0.132,0.1,0.7,0.8,1.8,0.0,0.0,40,True,False,False,False,False,0
Voshon Lenard,27,DEN,80,58,29.1,4.2,10.6,0.397,1.8,4.8,0.385,2.4,5.8,0.407,0.484,1.9,2.4,0.797,0.6,2.3,2.9,2.4,0.8,0.2,1.3,2.1,12.2,lenarvo01,2000_01,13.2,0.522,0.452,0.227,2.2,8.7,5.4,13.4,1.4,0.5,9.9,19.7,2.9,0.6,3.5,0.072,0.2,-1.1,-0.8,0.7,0.0,0.0,40,False,False,False,False,True,0
Rashard Lewis,21,OKC,78,78,34.9,5.5,11.4,0.48,1.6,3.7,0.432,3.9,7.7,0.503,0.55,2.3,2.7,0.826,1.8,5.1,6.9,1.6,1.2,0.6,1.7,2.4,14.8,lewisra02,2000_01,17.3,0.587,0.321,0.24,6.1,16.7,11.4,7.6,1.8,1.2,11.6,18.4,5.9,2.1,8.0,0.142,2.4,-0.4,2.1,2.8,0.0,0.0,44,False,True,False,False,False,0
George Lynch,30,PHI,82,80,32.3,3.3,7.5,0.445,0.2,0.7,0.263,3.2,6.8,0.463,0.457,1.5,2.1,0.719,2.4,4.8,7.2,1.7,1.2,0.4,1.3,2.7,8.4,lynchge01,2000_01,12.4,0.496,0.093,0.278,8.7,16.3,12.6,8.4,2.0,0.8,13.6,13.7,2.3,4.2,6.5,0.118,-0.8,1.3,0.5,1.7,0.0,0.0,56,False,False,False,True,False,0
Karl Malone,37,UTA,81,81,35.7,8.3,16.6,0.498,0.0,0.1,0.4,8.2,16.5,0.499,0.499,6.6,8.3,0.793,1.4,6.9,8.3,4.5,1.1,0.8,3.0,2.7,23.2,malonka01,2000_01,24.7,0.572,0.004,0.503,5.0,23.3,14.3,24.1,1.7,1.7,12.9,30.0,9.1,4.0,13.1,0.217,5.5,1.1,6.6,6.3,7.0,0.017,53,False,True,False,False,False,0
Stephon Marbury,23,BKN,67,67,38.2,8.4,19.1,0.441,1.6,5.0,0.328,6.8,14.1,0.481,0.484,5.4,6.8,0.79,0.8,2.3,3.1,7.6,1.2,0.1,2.9,2.2,23.9,marbust01,2000_01,22.7,0.54,0.262,0.359,2.3,7.0,4.6,40.8,1.6,0.1,11.8,29.7,7.2,0.7,7.8,0.147,5.9,-1.6,4.3,4.1,0.0,0.0,26,False,False,True,False,False,0
Shawn Marion,22,PHO,79,79,36.2,7.1,14.7,0.48,0.3,1.0,0.256,6.8,13.6,0.497,0.489,3.0,3.7,0.81,2.8,7.9,10.7,2.0,1.7,1.4,1.6,2.7,17.3,mariosh01,2000_01,21.0,0.532,0.071,0.249,8.6,25.4,16.8,10.2,2.4,2.7,9.1,22.1,5.3,6.4,11.7,0.196,2.3,1.8,4.1,4.4,0.0,0.0,51,False,False,False,True,False,0
Donyell Marshall,27,UTA,81,49,28.7,5.3,10.5,0.503,0.5,1.6,0.32,4.8,8.9,0.535,0.527,2.5,3.4,0.751,2.1,4.9,7.0,1.6,1.0,1.0,1.6,2.4,13.6,marshdo01,2000_01,19.9,0.568,0.151,0.322,9.4,20.6,15.1,10.1,2.0,2.7,11.7,21.7,5.1,3.3,8.5,0.174,3.2,0.6,3.7,3.4,0.0,0.0,53,False,False,False,True,False,0
Kenyon Martin,23,BKN,68,68,33.4,5.1,11.4,0.445,0.0,0.2,0.091,5.1,11.3,0.45,0.446,1.8,2.8,0.63,2.0,5.4,7.4,1.9,1.1,1.7,2.0,4.1,12.0,martike01,2000_01,13.4,0.472,0.014,0.247,6.7,19.0,12.7,10.4,1.8,3.7,13.8,19.9,-0.4,2.5,2.1,0.044,-2.1,0.4,-1.7,0.2,0.0,0.0,26,False,True,False,False,False,0
Jamal Mashburn,28,CHA,76,76,39.3,7.5,18.3,0.413,1.4,3.8,0.356,6.2,14.5,0.428,0.45,3.7,4.8,0.766,1.2,6.4,7.6,5.4,1.1,0.2,2.8,2.4,20.1,mashbja01,2000_01,17.5,0.493,0.208,0.262,3.5,18.4,11.0,26.8,1.5,0.3,12.0,27.1,3.1,4.2,7.3,0.118,2.1,0.0,2.1,3.1,0.0,0.0,46,False,False,False,True,False,0
Anthony Mason,34,MIA,80,80,40.7,5.8,11.9,0.482,0.0,0.0,0.0,5.8,11.9,0.482,0.482,4.6,5.9,0.781,2.1,7.5,9.6,3.1,1.0,0.3,2.2,2.9,16.1,masonan01,2000_01,17.4,0.555,0.0,0.497,6.2,21.9,14.1,14.2,1.4,0.6,13.3,20.0,6.0,5.6,11.6,0.171,0.8,1.1,1.9,3.2,,0.001,50,False,True,False,False,False,0
Antonio McDyess,26,DEN,70,70,36.5,8.2,16.6,0.495,0.0,0.0,0.0,8.2,16.6,0.495,0.495,4.3,6.2,0.7,3.4,8.6,12.1,2.1,0.6,1.5,2.3,3.1,20.8,mcdyean01,2000_01,22.0,0.538,0.0,0.373,10.1,26.1,18.0,10.8,0.9,2.7,10.7,26.5,5.2,2.6,7.8,0.146,2.5,-0.8,1.7,2.4,0.0,0.0,40,False,True,False,False,False,0
Tracy McGrady,21,ORL,77,77,40.1,10.2,22.4,0.457,0.8,2.2,0.355,9.5,20.2,0.468,0.474,5.6,7.6,0.733,2.5,5.0,7.5,4.6,1.5,1.5,2.6,2.1,26.8,mcgratr01,2000_01,24.9,0.521,0.096,0.34,6.7,14.3,10.4,22.8,1.9,2.8,9.1,31.2,8.3,3.9,12.2,0.189,6.5,0.5,7.0,7.0,6.0,0.052,43,False,False,False,False,True,0
Jeff McInnis,26,LAC,81,81,35.0,5.3,11.5,0.463,0.6,1.8,0.361,4.7,9.7,0.482,0.491,1.6,2.0,0.807,0.5,2.2,2.7,5.5,0.9,0.1,1.4,2.5,12.9,mcinnje01,2000_01,15.6,0.521,0.154,0.173,1.7,7.0,4.4,27.7,1.4,0.2,10.1,18.2,5.8,1.1,6.9,0.117,0.6,-0.9,-0.3,1.2,0.0,0.0,31,False,False,True,False,False,0
Aaron McKie,28,PHI,76,33,31.5,4.4,9.4,0.473,0.7,2.2,0.312,3.8,7.2,0.524,0.511,2.0,2.6,0.768,0.4,3.7,4.1,5.0,1.4,0.1,2.7,2.3,11.6,mckieaa01,2000_01,15.1,0.549,0.238,0.272,1.6,12.9,7.3,26.7,2.3,0.2,20.3,18.9,2.3,3.5,5.9,0.118,0.1,1.3,1.4,2.1,0.0,0.0,56,False,False,False,False,True,0
Andre Miller,24,CLE,82,82,34.7,5.5,12.2,0.452,0.2,0.8,0.266,5.3,11.4,0.465,0.461,4.6,5.5,0.833,1.1,3.2,4.4,8.0,1.5,0.3,3.2,2.8,15.8,millean02,2000_01,20.1,0.541,0.064,0.45,3.8,10.8,7.3,40.5,2.2,0.7,18.1,23.2,6.1,1.9,8.0,0.136,3.0,-0.2,2.8,3.4,0.0,0.0,30,False,False,True,False,False,0
Mike Miller,20,ORL,82,62,29.1,4.5,10.3,0.436,1.8,4.4,0.407,2.7,5.9,0.457,0.523,1.1,1.6,0.711,0.8,3.2,4.0,1.7,0.6,0.2,1.2,2.4,11.9,millemi01,2000_01,13.2,0.541,0.431,0.151,3.0,12.4,7.6,9.7,1.1,0.6,9.7,18.5,3.3,1.9,5.3,0.106,0.7,-0.9,-0.2,1.0,0.0,0.0,43,False,False,False,True,False,0
Reggie Miller,35,IND,81,81,39.3,6.4,14.5,0.44,2.1,5.7,0.366,4.3,8.8,0.487,0.512,4.0,4.3,0.928,0.5,3.0,3.5,3.2,1.0,0.2,1.6,2.0,18.9,millere01,2000_01,17.3,0.574,0.395,0.296,1.4,8.5,5.1,15.0,1.4,0.3,9.1,21.5,8.1,2.2,10.3,0.155,2.8,-0.6,2.3,3.4,0.0,0.0,41,False,False,False,False,True,0
Cuttino Mobley,25,HOU,79,49,38.0,6.7,15.4,0.434,1.1,3.2,0.357,5.5,12.2,0.454,0.471,5.0,6.0,0.831,1.1,4.0,5.0,2.5,1.1,0.3,2.1,2.1,19.5,moblecu01,2000_01,17.7,0.541,0.208,0.39,3.3,11.8,7.7,11.5,1.5,0.6,10.4,24.3,6.2,2.0,8.2,0.13,1.7,-0.8,0.9,2.2,0.0,0.0,45,False,False,False,False,True,0
Lamond Murray,27,CLE,78,46,28.5,5.0,11.9,0.423,0.8,2.1,0.37,4.2,9.7,0.434,0.456,2.0,2.7,0.735,1.3,3.0,4.4,1.6,1.1,0.3,1.8,2.2,12.8,murrala01,2000_01,13.9,0.49,0.178,0.228,5.4,12.3,8.9,10.1,2.0,0.9,12.2,23.5,0.8,1.5,2.3,0.05,-0.1,-1.0,-1.1,0.5,0.0,0.0,30,False,False,False,True,False,0
Steve Nash,26,DAL,70,70,34.1,5.5,11.3,0.487,1.3,3.1,0.406,4.2,8.2,0.518,0.544,3.3,3.7,0.895,0.7,2.5,3.2,7.3,1.0,0.1,2.9,2.3,15.6,nashst01,2000_01,19.6,0.603,0.277,0.326,2.2,8.1,5.2,34.6,1.6,0.1,18.5,21.1,6.8,1.6,8.4,0.169,3.8,-1.1,2.8,2.9,0.0,0.0,53,False,False,True,False,False,0
Dirk Nowitzki,22,DAL,82,82,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,nowitdi01,2000_01,22.8,0.601,0.313,0.431,4.4,22.1,13.5,9.4,1.3,2.3,9.5,23.8,10.3,4.3,14.6,0.224,4.9,0.5,5.4,5.9,0.0,0.0,53,False,True,False,False,False,0
Jermaine O'Neal,22,IND,81,80,32.6,5.0,10.7,0.465,0.0,0.1,0.0,5.0,10.7,0.468,0.465,2.9,4.8,0.601,3.1,6.7,9.8,1.2,0.6,2.8,2.0,3.5,12.9,onealje01,2000_01,17.5,0.501,0.006,0.447,11.0,22.7,17.0,6.7,1.0,6.2,13.4,21.2,1.7,4.7,6.4,0.116,-0.8,1.0,0.3,1.5,0.0,0.0,41,True,False,False,False,False,0
Shaquille O'Neal,28,LAL,74,74,39.5,11.0,19.2,0.572,0.0,0.0,0.0,11.0,19.2,0.573,0.572,6.7,13.1,0.513,3.9,8.8,12.7,3.7,0.6,2.8,2.9,3.5,28.7,onealsh01,2000_01,30.2,0.574,0.001,0.684,11.3,24.8,18.1,18.8,0.8,4.9,10.5,31.6,11.1,3.9,14.9,0.245,7.0,0.7,7.7,7.1,3.0,0.466,56,True,False,False,False,False,0
Charles Oakley,37,TOR,78,77,35.5,3.9,10.1,0.388,0.1,0.6,0.224,3.8,9.4,0.399,0.395,1.6,1.9,0.836,1.8,7.7,9.5,3.4,1.0,0.6,1.8,3.3,9.6,oaklech01,2000_01,11.6,0.439,0.062,0.193,5.6,25.0,15.1,14.6,1.4,1.2,14.0,16.0,0.2,3.5,3.7,0.065,-2.2,0.8,-1.4,0.4,0.0,0.0,47,False,True,False,False,False,0
Lamar Odom,21,LAC,76,74,37.3,6.3,13.8,0.46,1.1,3.3,0.316,5.3,10.4,0.506,0.498,3.4,5.1,0.679,1.4,6.3,7.8,5.2,1.0,1.6,3.5,3.1,17.2,odomla01,2000_01,18.9,0.536,0.242,0.369,4.6,18.9,11.9,25.0,1.4,3.0,17.8,24.1,3.2,3.3,6.5,0.111,2.9,1.1,4.0,4.3,0.0,0.0,31,False,True,False,False,False,0
